lat, lon, map_anm_mean, map_se_mean, map_tstat,map_sig, map_sig_val,map_npts,p
-23,17,217.4,34.0486,6.385,1,217.4,3,0.018692011
1,17,-59.5,13.408,-4.4376,-1,-59.5,2,0.047392847
3,17,20,33.7529,0.5925,0,0,2,0.018855672
13,17,601.5,43.3983,13.86,1,601.5,2,0.014666638
21,17,459.12,20.0211,22.9319,1,459.12,5,0.03177104
23,17,552.6667,39.7482,13.9042,1,552.6667,3,0.016012939
43,17,266.6357,93.7653,2.8436,1,266.6357,4,0.006789245
47,17,158.1875,106.261,1.4887,0,0,2,0.005990918
49,17,18.2935,89.1061,0.2053,0,0,2,0.007144214
53,17,76.9984,55.3561,1.391,0,0,7,0.011499194
55,17,116.4895,86.1588,1.352,0,0,4,0.00738858
57,17,61.3005,113.3932,0.5406,0,0,2,0.005614122
59,17,20.4815,118.8868,0.1723,0,0,2,0.005354714
63,17,3.2937,73.633,0.0447,0,0,4,0.008645317
69,17,106.6793,138.0519,0.7727,0,0,3,0.004611372
-35,19,-105.8333,28.9947,-3.6501,-1,-105.8333,3,0.021947719
-33,19,349.9667,30.0251,11.6558,1,349.9667,3,0.021195085
23,19,185.3,115.1344,1.6094,0,0,3,0.005529223
47,19,59.408,127.341,0.4665,0,0,2,0.004999228
49,19,25.1132,79.1668,0.3172,0,0,5,0.008041072
51,19,16.0008,77.2831,0.207,0,0,4,0.008237043
53,19,5.0755,68.3386,0.0743,0,0,4,0.009315004
55,19,100.87,108.6691,0.9282,0,0,2,0.005858168
57,19,62.034,108.2597,0.573,0,0,2,0.00588032
63,19,-17.1242,76.9149,-0.2226,0,0,4,0.008276471
69,19,108.8063,69.3335,1.5693,0,0,4,0.009181357
75,19,950.58,148.385,6.4062,1,950.58,1,0.004290259
81,19,3.628,148.385,0.0244,0,0,1,0.004290259
39,21,281.5333,199.7777,1.4092,0,0,3,0.003186614
41,21,169.3455,95.2733,1.7775,0,0,4,0.006681792
45,21,162.71,220.1849,0.739,0,0,2,0.002891276
49,21,160.555,69.1224,2.3228,1,160.555,6,0.009209393
51,21,68.0343,93.397,0.7284,0,0,3,0.006816016
53,21,108.9486,63.5266,1.715,0,0,5,0.010020483
57,21,42.743,122.5489,0.3488,0,0,2,0.005194707
67,21,48.547,92.1962,0.5266,0,0,2,0.006904784
69,21,0.6837,85.6701,0.008,0,0,3,0.007430724
-33,23,32.0333,40.8515,0.7841,0,0,3,0.015580644
-27,23,46.5,33.4271,1.3911,0,0,2,0.019039341
39,23,148.3667,74.4048,1.994,0,0,3,0.00855565
43,23,212.4663,162.6543,1.3062,0,0,3,0.003913894
45,23,191.605,197.3472,0.9709,0,0,2,0.003225859
47,23,-157.7565,234.8705,-0.6717,0,0,2,0.002710498
