lat, lon, mtco_anm_mean, mtco_se_mean, mtco_tstat,mtco_sig, mtco_sig_val,mtco_npts
   55.000000,    -7.000000,        -0.8589,         0.8593,        -0.9995,         0.0000,         0.0000,     8
   57.000000,    -7.000000,        -3.4400,         2.7472,        -1.2522,         0.0000,         0.0000,     1
   59.000000,    -7.000000,        -1.8707,         1.3982,        -1.3379,         0.0000,         0.0000,     3
   63.000000,    -7.000000,        -0.2023,         0.9556,        -0.2117,         0.0000,         0.0000,     6
   33.000000,    -5.000000,         1.1900,         1.9426,         0.6126,         0.0000,         0.0000,     2
   43.000000,    -5.000000,         0.5052,         1.7031,         0.2967,         0.0000,         0.0000,     4
   45.000000,    -5.000000,        -4.0675,         1.6961,        -2.3982,        -1.0000,        -4.0675,     2
   51.000000,    -5.000000,         1.1513,         1.7765,         0.6481,         0.0000,         0.0000,     3
   53.000000,    -5.000000,         1.7820,         1.9364,         0.9203,         0.0000,         0.0000,     2
   55.000000,    -5.000000,        -0.3003,         0.8969,        -0.3349,         0.0000,         0.0000,     9
   57.000000,    -5.000000,        -1.7932,         0.7643,        -2.3461,        -1.0000,        -1.7932,    12
   59.000000,    -5.000000,        -2.6263,         1.0886,        -2.4126,        -1.0000,        -2.6263,     6
   23.000000,    -3.000000,        -4.8000,         0.5357,        -8.9602,        -1.0000,        -4.8000,     1
   31.000000,    -3.000000,         0.2000,         3.9541,         0.0506,         0.0000,         0.0000,     1
   37.000000,    -3.000000,        -5.5814,         1.1990,        -4.6551,        -1.0000,        -5.5814,     5
   41.000000,    -3.000000,        -5.3200,         2.7472,        -1.9365,         0.0000,         0.0000,     1
   43.000000,    -3.000000,         0.2377,         0.9266,         0.2565,         0.0000,         0.0000,    10
   47.000000,    -3.000000,        -3.5645,         1.8745,        -1.9016,         0.0000,         0.0000,     2
   49.000000,    -3.000000,         0.0927,         1.5493,         0.0598,         0.0000,         0.0000,     3
   51.000000,    -3.000000,         1.1298,         1.3475,         0.8384,         0.0000,         0.0000,     4
   53.000000,    -3.000000,         0.4290,         0.9369,         0.4579,         0.0000,         0.0000,     7
   55.000000,    -3.000000,         1.1814,         1.0024,         1.1785,         0.0000,         0.0000,     8
   57.000000,    -3.000000,        -0.6623,         0.8878,        -0.7460,         0.0000,         0.0000,     9
   59.000000,    -3.000000,         0.3415,         1.3505,         0.2529,         0.0000,         0.0000,     4
    7.000000,    -1.000000,        -3.7000,         2.0153,        -1.8360,         0.0000,         0.0000,     1
